id,gender
960,women
961,women
962,man
963,man
964,women
965,man
966,women
967,man
968,man
969,man
970,women
971,man
972,women
973,man
977,women
978,man
979,man
980,women
981,man
982,women
983,man
984,women
985,man
986,man
987,women
989,man
990,man
991,women
992,women
993,man
995,women
996,man
997,man
999,women
1000,man
1001,women
1002,man
1003,man
1004,women
1005,women
1006,women
1007,man
1008,man
1009,women
1010,women
